as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,target,first,release,v2,c2,asof,model,k,v3,v3_raw,v2_bc,combo,combo_raw,combo_bc2,h,bucket
2023-10-30,2023 Q3,2023-09-01,0.2594228878363316,0.212,0.0474228878363316,True,3,19,2023Q3,0.212,2023-12-06,0.2594228878363316,0.0,2023-10-30,0.4411,3,0.4411,0.4411,0.2594228878363316,0.3502614439181658,0.3502614439181658,0.3502614439181658,37,30-60d
2023-11-06,2023 Q3,2023-09-01,0.2595793488758871,0.212,0.047579348875887,True,3,19,2023Q3,0.212,2023-12-06,0.2595793488758871,0.0,2023-11-06,0.4951,3,0.4951,0.4951,0.2595793488758871,0.37733967443794353,0.37733967443794353,0.37733967443794353,30,<30d
2023-11-13,2023 Q3,2023-09-01,0.2598642846871145,0.212,0.0478642846871145,True,3,19,2023Q3,0.212,2023-12-06,0.2598642846871145,0.0,2023-11-13,0.4847,3,0.4847,0.4847,0.2598642846871145,0.3722821423435573,0.3722821423435573,0.3722821423435573,23,<30d
2023-11-20,2023 Q3,2023-09-01,0.2605459168373337,0.212,0.0485459168373337,True,3,19,2023Q3,0.212,2023-12-06,0.2605459168373337,0.0,2023-11-20,0.514,3,0.514,0.514,0.2605459168373337,0.3872729584186668,0.3872729584186668,0.3872729584186668,16,<30d
2023-11-27,2023 Q3,2023-09-01,0.2605459168373337,0.212,0.0485459168373337,True,3,19,2023Q3,0.212,2023-12-06,0.2605459168373337,0.0,2023-11-27,0.514,3,0.514,0.514,0.2605459168373337,0.3872729584186668,0.3872729584186668,0.3872729584186668,9,<30d
2023-12-04,2023 Q4,2023-12-01,0.4905853295021122,0.2395,0.2510853295021122,True,2,17,2023Q4,0.2395,2024-03-06,0.4905853295021122,0.0,2023-12-04,0.4059,3,0.4059,0.4059,0.4905853295021122,0.4482426647510561,0.4482426647510561,0.4482426647510561,93,>90d
2023-12-11,2023 Q4,2023-12-01,0.3260293938437683,0.2395,0.0865293938437682,True,2,17,2023Q4,0.2395,2024-03-06,0.3260293938437683,-0.017731428447413572,2023-12-11,0.2903,3,0.10800000000000001,0.2903,0.3437608222911819,0.21701469692188413,0.30816469692188414,0.22588041114559093,86,60-90d
2023-12-18,2023 Q4,2023-12-01,0.4477471109232635,0.2395,0.2082471109232635,True,3,17,2023Q4,0.2395,2024-03-06,0.4477471109232635,-0.017731428447413572,2023-12-18,0.328,3,0.14570000000000002,0.328,0.46547853937067707,0.29672355546163176,0.38787355546163177,0.30558926968533856,79,60-90d
2023-12-25,2023 Q4,2023-12-01,0.4477471109232635,0.2395,0.2082471109232635,True,3,17,2023Q4,0.2395,2024-03-06,0.4477471109232635,-0.017731428447413572,2023-12-25,0.3716,3,0.1893,0.3716,0.46547853937067707,0.31852355546163175,0.40967355546163176,0.32738926968533855,72,60-90d
2024-01-01,2023 Q4,2023-12-01,0.4576160895970656,0.2395,0.2181160895970656,True,3,17,2023Q4,0.2395,2024-03-06,0.4576160895970656,-0.017731428447413572,2024-01-01,0.371,3,0.1887,0.371,0.47534751804447917,0.32315804479853283,0.4143080447985328,0.3320237590222396,65,60-90d
