as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,next_target_quarter,next_target_quarter_date,qoq_growth_forecast_next,qoq_actual_next,n_months_in_next_quarter
2019-01-14,2018 Q4,2018-12-01,0.4598294983539339,0.1775,0.2823294983539339,TRUE,3,16,NA,NA,NA,NA,NA
2019-01-21,2018 Q4,2018-12-01,0.5805577207350536,0.1775,0.40305772073505364,TRUE,3,16,2019 Q1,2019-03-01,0.7154781625162338,0.4058,1
2019-01-28,2018 Q4,2018-12-01,0.5805577207350536,0.1775,0.40305772073505364,TRUE,3,16,2019 Q1,2019-03-01,0.7154781625162338,0.4058,1
2019-02-04,2018 Q4,2018-12-01,0.5858580153969282,0.1775,0.4083580153969282,TRUE,3,16,2019 Q1,2019-03-01,0.7204730392240883,0.4058,1
2019-02-11,2018 Q4,2018-12-01,0.5857265962290126,0.1775,0.4082265962290126,TRUE,3,16,2019 Q1,2019-03-01,0.7144193152460289,0.4058,1
2019-02-18,2018 Q4,2018-12-01,0.5766805052122955,0.1775,0.39918050521229553,TRUE,3,16,2019 Q1,2019-03-01,1.0883113294861821,0.4058,2
2019-02-25,2018 Q4,2018-12-01,0.5766805052122955,0.1775,0.39918050521229553,TRUE,3,16,2019 Q1,2019-03-01,1.0883113294861821,0.4058,2
2019-03-04,2019 Q1,2019-03-01,0.9966639746009966,0.4058,0.5908639746009967,TRUE,2,14,NA,NA,NA,NA,NA
2019-03-11,2019 Q1,2019-03-01,0.979518981282311,0.4058,0.5737189812823109,TRUE,2,14,NA,NA,NA,NA,NA
2019-03-18,2019 Q1,2019-03-01,0.9588540374752555,0.4058,0.5530540374752555,TRUE,3,14,NA,NA,NA,NA,NA
2019-03-25,2019 Q1,2019-03-01,0.9588540374752555,0.4058,0.5530540374752555,TRUE,3,14,NA,NA,NA,NA,NA
2019-04-01,2019 Q1,2019-03-01,0.8862603666840022,0.4058,0.4804603666840022,TRUE,3,14,NA,NA,NA,NA,NA
2019-04-08,2019 Q1,2019-03-01,0.8386319755469788,0.4058,0.4328319755469788,TRUE,3,14,NA,NA,NA,NA,NA
2019-04-15,2019 Q1,2019-03-01,0.8304960714008364,0.4058,0.4246960714008364,TRUE,3,14,2019 Q2,2019-06-01,0.6805116119174599,0.4814,1
2019-04-22,2019 Q1,2019-03-01,0.8304960714008364,0.4058,0.4246960714008364,TRUE,3,14,2019 Q2,2019-06-01,0.6805116119174599,0.4814,1
2019-04-29,2019 Q1,2019-03-01,0.8304960714008364,0.4058,0.4246960714008364,TRUE,3,14,2019 Q2,2019-06-01,0.6805116119174599,0.4814,1
2019-05-06,2019 Q1,2019-03-01,0.7690861713012533,0.4058,0.36328617130125335,TRUE,3,14,2019 Q2,2019-06-01,0.6149011101414069,0.4814,1
2019-05-13,2019 Q1,2019-03-01,0.7691066969637529,0.4058,0.3633066969637529,TRUE,3,14,2019 Q2,2019-06-01,0.6046553637777218,0.4814,1
2019-05-20,2019 Q1,2019-03-01,0.7730504151009647,0.4058,0.36725041510096473,TRUE,3,14,2019 Q2,2019-06-01,0.4489013152199199,0.4814,2
2019-05-27,2019 Q1,2019-03-01,0.7730504151009647,0.4058,0.36725041510096473,TRUE,3,14,2019 Q2,2019-06-01,0.4489013152199199,0.4814,2
2019-06-03,2019 Q2,2019-06-01,0.40244667090213754,0.4814,-0.07895332909786246,TRUE,2,14,NA,NA,NA,NA,NA
2019-06-10,2019 Q2,2019-06-01,0.39301191961552806,0.4814,-0.08838808038447193,TRUE,2,14,NA,NA,NA,NA,NA
2019-06-17,2019 Q2,2019-06-01,0.1724083523584237,0.4814,-0.3089916476415763,TRUE,3,14,NA,NA,NA,NA,NA
2019-06-24,2019 Q2,2019-06-01,0.1724083523584237,0.4814,-0.3089916476415763,TRUE,3,14,NA,NA,NA,NA,NA
2019-07-01,2019 Q2,2019-06-01,0.12339833161431273,0.4814,-0.35800166838568726,TRUE,3,14,NA,NA,NA,NA,NA
2019-07-08,2019 Q2,2019-06-01,0.06888581158417491,0.4814,-0.4125141884158251,TRUE,3,14,NA,NA,NA,NA,NA
2019-07-15,2019 Q2,2019-06-01,0.24222676070656307,0.4814,-0.23917323929343692,TRUE,3,14,NA,NA,NA,NA,NA
2019-07-22,2019 Q2,2019-06-01,0.27714582055181924,0.4814,-0.20425417944818075,TRUE,3,14,2019 Q3,2019-09-01,0.7240931143914117,0.439,1
2019-07-29,2019 Q2,2019-06-01,0.27714582055181924,0.4814,-0.20425417944818075,TRUE,3,14,2019 Q3,2019-09-01,0.7240931143914117,0.439,1
2019-08-05,2019 Q2,2019-06-01,0.3291315779421659,0.4814,-0.15226842205783409,TRUE,3,14,2019 Q3,2019-09-01,0.7808735605586622,0.439,1
2019-08-12,2019 Q2,2019-06-01,0.32908864623998985,0.4814,-0.15231135376001015,TRUE,3,14,2019 Q3,2019-09-01,0.7773202510236306,0.439,1
2019-08-19,2019 Q2,2019-06-01,0.33341652482782186,0.4814,-0.14798347517217814,TRUE,3,14,2019 Q3,2019-09-01,0.8892302054094735,0.439,2
