,emp,ft_emp,pt_emp,ue,ud,hours,doe_ads,anz_ads,nab_cond,nab_profit,nab_trade,nab_emp,nab_forward,nab_stocks,nab_conf,nab_cu,aig_pmi,aig_psi,aig_pci,new_reg,anz_finance,anz_sent,wmi_finance,wmi_sent,rt,mv,arrivals,export,import,res_ba,hs_ba,nh_ba,alt_add,non_res_ba,acr,credit,credit_housing,credit_personal,credit_business,firmmbab90,fcmygbag3,fcmygbag5,fcmygbag10,scrigbag3,scrigbag5,scrigbag10,twi,asx200,icp,house_prices,mt103s,credit_card,debit_card
1/07/1981,-0.416540798,-0.061683795,-0.724185152,2.22028717,0.419319182,0.08278937,,,,,,,,,,,,,,3.248763792,,,,-0.265255444,,,,-2.559051584,0.014040113,-0.973150966,-0.837136758,-1.468018413,-0.366752968,0.760735976,,1.448351466,0.679984083,1.603268022,1.265504805,,,1.934524662,2.62873458,,,,0.615376146,,-1.21690186,,,,
1/08/1981,0.243745285,0.239982351,0.172696404,0.061071382,-0.396985326,-0.471892619,,,,,,,,,,,,,,2.921157182,,,,-0.496001895,,,,1.951891987,-1.294976187,0.290094842,0.789478243,-0.385997668,0.931913499,-0.921040656,,0.787379846,-1.030953854,1.601487039,0.746312456,,,3.642862301,3.586918914,,,,0.181272002,,-0.747042217,,,,
1/09/1981,0.594250771,0.60153728,0.264562159,-0.18828685,-0.015937679,1.030081861,,,,,,,,,,,,,,2.699152082,,,,-0.251868372,,,,-0.27813171,-0.693307268,-0.214954935,-0.837229358,0.70009269,-0.243513294,3.099900396,,0.673758828,-0.87397795,1.291640168,0.733325942,,,0.112506771,0.121913208,,,,-0.140260006,,1.682740071,,,,
1/10/1981,-1.440818551,-1.097305639,-1.030968205,0.276745103,0.058873335,-1.18651044,,,,,,,,,,,,,,2.426584517,,,,-0.007591836,,,,-1.926883924,3.337773874,-0.169297444,-0.305277962,-0.018988801,-1.485264355,-3.082020002,,0.838795898,-1.177299531,1.299195676,1.023986858,,,0.117380333,0.124331707,,,,-0.212030186,,-0.407855902,,,,
1/11/1981,-0.818504489,-0.350048685,-1.067956183,0.579215572,0.003533499,-0.860552667,,,,,,,,,,,,,,3.743909822,,,,0.011302765,,,,0.458486482,-1.874673736,-0.581496712,-0.416476571,-1.078781069,2.80842226,-1.650077605,,0.466139115,-1.398075746,0.948208828,0.75785196,,,0.120497777,0.126583531,,,,-0.62828675,,-0.055735741,,,,
1/12/1981,0.146692783,1.002349199,-1.502217193,0.13960146,0.141822556,0.999210112,,,,,,,,,,,,,,3.725685782,,,,-0.2441688,,,,-0.545180333,-1.469051132,-0.941761493,-1.368064384,-0.701494344,-1.578935562,3.065479971,,1.214815291,-1.164524753,1.126816393,1.500377398,,,-0.164844852,0.125922154,,,,-0.195168942,,-0.248049847,,,,
1/01/1982,1.055542312,0.674254727,1.165055717,-0.23794398,0.087678854,-0.382758947,,,,,,,,,,,,,,3.683918041,,,,-0.674651025,,,,1.074281239,2.429403243,0.601305085,0.395821509,1.238795321,-0.881250295,-0.88121085,,1.791507361,-1.259337693,1.205281155,2.005345975,,,0.397188418,0.121183187,,,,-0.073613225,,0.110219078,,,,
1/02/1982,-0.983928912,-0.878633753,-0.431205342,1.588361365,-0.240311866,0.052057367,,,,,,,,,,,,,,2.991225691,,,,-0.540506283,,,,1.517780259,1.115025182,-1.032879123,-1.164212519,-1.287515401,0.576658501,0.163329488,,0.729895618,-1.125627362,0.999521992,0.84784044,,,0.397377594,0.437345501,,,,-0.283472131,,0.316221035,,,,
1/03/1982,-0.605879453,-0.802282884,0.267227128,0.067819935,0.089821657,-0.197070204,,,,,,,,,,,,,,3.06306312,,,,-0.579294018,,,,0.366646466,0.809056102,-0.13640832,-0.47425535,0.373080375,0.143990244,0.231736864,,0.837408601,-1.414739114,0.376017527,1.065069926,,,0.395959716,0.279156633,,,,-0.081034853,,-1.570857455,,,,
1/04/1982,0.105518977,-0.212109514,0.715866799,0.050685844,0.12266335,-0.590426202,,,,,,,,,,,,,,3.506681696,,,,-0.43531965,,,,-0.640569908,-0.469389602,-0.353029693,-0.662575479,-0.004761404,-0.437132002,-1.220818793,,1.855945687,-0.879592463,0.440840187,2.396461461,,,0.392815653,0.275022909,,,,-0.170258817,,-0.067522529,,,,
1/05/1982,-1.188952209,-0.931431879,-0.782056655,1.280290137,0.197035887,-0.410467434,,,,,,,,,,,,,,3.155809665,,,,-0.492226671,-0.176130371,,,2.109398842,-1.464069458,-0.996911157,-1.537579134,-0.557032758,-0.812585782,0.549438421,,-0.605861511,-1.178588332,0.630652475,-0.437779134,,,3.23381841,3.918043853,,,,-0.002857838,,-0.071626366,,,,
1/06/1982,-0.793063853,-0.70800102,-0.335900337,0.860233494,-0.14959466,-0.511574118,,,,,,,,,,,,,,4.735058386,,,,-0.548880796,0.23800153,,,-2.36217393,-0.293721348,-0.868072867,-1.542255681,-0.16700222,0.255651299,0.702064799,,-0.162498959,-0.945861189,0.763102399,-0.094927366,,,0.123481222,0.134400871,,,,0.161972892,,-0.76050699,,,,
1/07/1982,-0.377321656,-0.841421709,0.82347102,0.596752751,0.206446986,-0.16248168,,,,,,,,,,,,,,-3.091025188,,,,-1.63212988,-0.45546734,,,1.529614491,0.615117307,1.052269217,1.185587314,1.217486923,-0.319899297,-0.943024557,,0.647047564,-0.885356345,0.552150818,0.986233351,,,0.125015315,0.137140224,,,,-0.817376301,,0.280043884,,,,
1/08/1982,-0.498293996,-1.029247849,0.883184202,0.636085287,0.31427551,-0.554596025,,,,,,,,,,,,,,-0.576437425,,,,-1.259897307,0.137825619,,,-2.649067995,-1.273695775,-1.331470755,-2.769350472,0.150842411,0.196728431,-0.338249466,,0.262535918,-1.923122993,0.541876337,0.567129102,,,0.695456656,0.455801117,,,,-0.794728545,,0.217385252,,,,
