,RT_MAI
2019-03-01,-0.138822738369907
2019-04-01,-0.23794082667758
2019-05-01,-0.285819347724263
2019-06-01,-0.122472469340916
2019-07-01,-0.30252555994559
2019-08-01,-0.259779352366684
2019-09-01,-0.131418250353065
2019-10-01,-0.282312836404818
2019-11-01,-0.221848934524282
2019-12-01,-0.264480516603138
2020-01-01,-0.322245915663354
2020-02-01,-0.419349970095466
2020-03-01,-1.60654885796342
2020-04-01,-5.05241076776995
2020-05-01,-2.17618603078346
2020-06-01,-1.18129313458551
2020-07-01,-0.70758451820582
2020-08-01,-0.816848898436546
2020-09-01,-0.528948466435837
2020-10-01,0.126521872995167
2020-11-01,0.586032671968844
2020-12-01,0.591538749634468
2021-01-01,0.558703106700584
2021-02-01,0.915046581051281
2021-03-01,1.25157820510574
2021-04-01,1.24232096030659
2021-05-01,1.52876687098299
2021-06-01,1.04403151212349
2021-07-01,0.379665856985291
2021-08-01,-0.113567532150765
2021-09-01,0.0547233956685365
2021-10-01,0.282894668364744
2021-11-01,1.27175427849103
2021-12-01,0.547670193889242
2022-01-01,0.244650191989219
2022-02-01,0.822528919389852
2022-03-01,0.759255993033874
2022-04-01,0.859729419565164
2022-05-01,0.777306769796753
2022-06-01,0.5883758423854
2022-07-01,0.587177018218761
2022-08-01,0.708375044665259
2022-09-01,0.588282848933704
